"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
226.952514648438,226.952514648438,226.952514648438,21.34899972,18.7959999,23.05299996,948.459613368,945.05401332,313,312,1,"","","40"
1470.3310546875,1470.3310546875,1470.3310546875,26.77399992,23.9019996,28.96899996,1846.414931184,1842.361330896,589.5,588,1,"","","3"
728.715038158275,728.710815429688,728.71630859375,27.87500022,24.76400076,30.04399896,1283.0395626,1278.81556404,404.5,404,1,"[58][M+8]2+","","3"
955.289555586318,955.288208007812,955.294555664062,27.87500022,24.76400076,30.04399896,1193.80759302,1189.58359446,354.5,354,1,"","","3"
978.584655761719,978.584655761719,978.584655761719,27.87500022,24.76400076,30.04399896,953.56767492,949.34367636,316,315,1,"[79][M]3+","","3"
979.258534422258,979.256958007812,979.263366699219,27.87500022,24.76400076,30.04399896,985.24766412,981.02366556,308,307,1,"[79][M+2]3+","","3"
1449.11386216151,1449.103515625,1449.119140625,27.87500022,24.76400076,32.58700134,4183.349560155,4158.78044895844,1500.5,117,1,"","","3"
1450.72769773055,1450.72436523438,1450.73217773438,27.87500022,24.76400076,32.58700134,13133.3511612112,13043.9978264616,4230,88,1,"[80][M+1]3+","","3"
1454.19545894955,1454.18713378906,1454.20275878906,27.87500022,24.76400076,30.04399896,1110.38362146,1106.1596229,384,383,1,"","","3"
1455.37365722656,1455.37365722656,1455.37365722656,27.87500022,24.76400076,30.04399896,2015.90331276,2011.6793142,728.5,728,1,"[60][M]+","","3"
1455.40034742391,1455.39697265625,1455.40478515625,27.87500022,24.76400076,30.04399896,2130.4792737,2126.25527514,871.5,870,1,"[75][M+1]2+","","3"
1455.42822265625,1455.42822265625,1455.42822265625,27.87500022,24.76400076,30.04399896,2499.02314806,2494.7991495,1045.5,1044,1,"[73][M]+","","3"
1456.09393025305,1456.08410644531,1456.09973144531,27.87500022,24.76400076,32.58700134,1884.3652647075,1863.9346605142,576.5,45,1,"[94][M]+","","3"
1458.373046875,1458.373046875,1458.373046875,26.77399992,24.76400076,30.04399896,1945.15133688,1940.92733832,735.5,734,1,"[60][M+3]+","","3"
1458.435546875,1458.435546875,1458.435546875,27.87500022,24.76400076,30.04399896,1323.69554874,1319.47155018,545,544,1,"[73][M+3]+","","3"
1458.77799111817,1458.77160644531,1458.77941894531,27.87500022,24.76400076,30.04399896,1678.51142778,1674.28742922,555,554,1,"","","3"
1460.87606305425,1460.86706542969,1460.8828125,27.87500022,24.76400076,31.8479991,8159.75408791714,8084.39624843296,2574.5,32,1,"[96][M+1]+","","3"
1464.08938390512,1464.08361816406,1464.09924316406,27.87500022,24.76400076,32.58700134,1477.5692345475,1472.33061808768,618,109,1,"[88][M+1]3+","","3"
1739.45196730091,1739.44555789908,1739.45817747904,27.87500022,24.76400076,30.04399896,1865.95136388,1861.72736532,775,774,1,"[110][M]+","","3"
1739.86523511782,1739.85681152344,1739.87390136719,27.87500022,24.76400076,30.04399896,1301.5195563,1297.29555774,423,422,1,"","","3"
1740.44872669126,1740.43725585938,1740.45434570312,27.87500022,24.76400076,30.04399896,1569.74346486,1565.5194663,720,719,1,"[110][M+1]+","","3"
1740.50992759096,1740.4970703125,1740.51416015625,26.77399992,24.76400076,30.04399896,1243.96757592,1239.74357736,465.5,464,1,"","","3"
1812.99189767002,1812.986328125,1812.99542236328,27.87500022,24.76400076,30.04399896,2037.02330556,2032.799307,1001,1000,1,"","","3"
1812.99621659761,1812.9951171875,1813.00267050504,27.87500022,24.76400076,30.04399896,1824.2393781,1820.01537954,1001,1000,1,"[115][M+1]2+","","3"
725.268720869585,725.267761230469,725.273254394531,27.87500022,24.76400076,31.1010003,3485.349747,3480.06891405,943,942,1,"","","3"
726.756530761719,726.756530761719,726.756530761719,27.87500022,25.68199932,31.1010003,2838.472713324,2834.13751254,893,892,1,"","","3"
734.70817878323,734.705871582031,734.71142578125,27.87500022,24.76400076,31.1010003,1248.38890938,1243.10807643,334.5,334,1,"","","3"
762.670982199979,762.668518066406,762.674194335938,27.87500022,24.76400076,31.1010003,1402.58923152,1397.30839857,344,343,1,"","","3"
919.250638133082,919.24658203125,919.252807617188,27.87500022,25.68199932,31.1010003,1335.78374157,1331.448540786,498,497,1,"[69][M+2]3+","","3"
919.919158301651,919.916809082031,919.923034667969,27.87500022,24.76400076,31.1010003,1067.78442249,1062.50358954,321.5,320,1,"[69][M+4]3+","","3"
961.266944040531,961.262084960938,961.26847908612,27.87500022,24.76400076,32.58700134,3535.99626216,3484.41335208562,1366,49,1,"[66][M+1]3+","","3"
961.92586211938,961.922058105469,961.928405761719,27.87500022,24.76400076,32.58700134,3472.92331998375,3454.79770703277,980.5,60,1,"[70][M+2]3+","","3"
965.936676651268,965.93115234375,965.943908691406,27.87500022,24.76400076,32.58700134,73337.6968122825,72602.5792265306,23774,95,1,"[57][M]3+","","3"
969.228576660156,969.228576660156,969.228576660156,27.87500022,24.76400076,32.58700134,1097.175831345,1091.30858091,343.5,201,1,"","","3"
969.579040527344,969.579040527344,969.579040527344,27.87500022,24.76400076,31.1010003,1033.98709161,1028.70625866,259.5,258,1,"","","3"
973.928233251219,973.92333984375,973.936096191406,27.87500022,23.9019996,33.46300008,44384.55447828,43775.3821619829,12528,63,1,"","","3"
979.237247065494,979.234527587891,979.244140625,27.87500022,24.76400076,31.1010003,1605.3732168,1600.09238385,529,528,1,"","","3"
979.58224367467,979.5771484375,979.584727947529,27.87500022,24.76400076,31.1010003,1963.41369081,1958.13285786,494,493,1,"[117][M]3+","","3"
979.598718848327,979.589965820312,979.602783203125,27.87500022,24.76400076,31.1010003,1615.406799405,1610.125966455,375,374,1,"[79][M+3]3+","","3"
979.923087597366,979.916625976562,979.929443359375,27.87500022,24.76400076,31.1010003,1598.508133965,1593.227301015,432,431,1,"[117][M+1]3+","","3"
979.945098707202,979.942260742188,979.948669433594,27.87500022,24.76400076,31.1010003,1708.87754262,1703.59670967,415,414,1,"","","3"
1093.04301620251,1093.04280444683,1093.04320749099,27.87500022,24.76400076,31.1010003,2043.154268355,2037.873435405,633,632,1,"[90][M]3+","","3"
1097.03700587051,1097.03173828125,1097.03857421875,27.87500022,25.68199932,31.1010003,1282.677531966,1278.342331182,357,356,1,"[91][M]+","","3"
1097.06404204633,1097.05883789062,1097.06567382812,27.87500022,25.68199932,31.1010003,1055.621390904,1051.28619012,457,456,1,"","","3"
1097.55285629177,1097.55253309292,1097.5537109375,27.87500022,24.76400076,31.1010003,1679.3048781,1674.02404515,734,733,1,"[74][M]+","","3"
1097.7988924559,1097.7978515625,1097.80456542969,27.87500022,24.76400076,31.1010003,1261.590991755,1256.310158805,402,401,1,"[68][M+1]2+","","3"
1310.28559543775,1310.27893066406,1310.28689018305,27.87500022,24.76400076,33.46300008,953.02370328,937.07553786,256,29,1,"","","3"
1332.314130697,1332.31198475662,1332.31970214844,28.96899996,25.68199932,33.46300008,1133.5945482225,1110.04312627929,412,27,1,"[67][M+1]+","","3"
1450.8993730995,1450.89587402344,1450.91137695312,27.87500022,24.76400076,31.1010003,33149.90076033,33135.0012673639,11296.5,756,1,"[65][M+3]2+","","3"
1451.73601812088,1451.72998046875,1451.73779296875,27.87500022,24.76400076,31.1010003,3509.64157857,3504.36074562,1518,1517,1,"[80][M+2]3+","","3"
1454.61450721194,1454.60864257812,1454.62426757812,27.87500022,24.76400076,31.1010003,2941.952036445,2936.671203495,963,962,1,"","","3"
1454.64555795236,1454.63989257812,1454.64770507812,27.87500022,25.68199932,31.1010003,1845.711733788,1841.376533004,618,617,1,"[123][M]3+","","3"
1454.84456865027,1454.8349609375,1454.8505859375,27.87500022,24.76400076,31.1010003,1503.453140865,1498.172307915,487.5,486,1,"","","3"
1456.37546448788,1456.373046875,1456.380859375,27.87500022,24.76400076,31.1010003,3988.08504384,3982.80421089,1328.5,1328,1,"[60][M+1]+","","3"
1456.39266487184,1456.388671875,1456.404296875,27.87500022,24.76400076,31.1010003,4684.626909945,4679.346076995,2092,2091,1,"[75][M+3]2+","","3"
1456.435546875,1456.435546875,1456.435546875,27.87500022,24.76400076,31.1010003,3072.916693605,3067.635860655,1170,1169,1,"[73][M+1]+","","3"
1456.72603342199,1456.71667480469,1456.73229980469,27.87500022,24.76400076,32.58700134,4565.20977596625,4546.2459843817,1444,84,1,"[95][M]+","","3"
1457.06930477691,1457.06777169904,1457.07995605469,27.87500022,24.76400076,33.46300008,7699.58095368,7666.95970623,2584,144,1,"[93][M+1]+","","3"
1461.12979841122,1461.12524414062,1461.13305664062,27.87500022,24.76400076,31.1010003,1820.83120116,1815.55036821,586,585,1,"","","3"
1461.72402382328,1461.71984863281,1461.73547363281,27.87500022,24.76400076,31.1010003,935.763598739999,930.482765789999,495,494,1,"","","3"
1461.95740059507,1461.94677734375,1461.96240234375,27.87500022,25.68199932,33.46300008,1598.5093436325,1568.23638755063,475.5,35,1,"","","3"
1739.29567941952,1739.28491210938,1739.30200195312,27.87500022,24.76400076,31.1010003,1401.004981635,1395.724148685,553,552,1,"[109][M]+","","3"
1739.47261925495,1739.47154259315,1739.4810329128,27.87500022,24.76400076,31.1010003,1448.00439489,1442.72356194,709,708,1,"","","3"
1739.64697507389,1739.64343261719,1739.65197753906,27.87500022,24.76400076,31.1010003,1573.160135805,1567.879302855,749,748,1,"","","3"
1739.89945287602,1739.89099121094,1739.90808105469,27.87500022,24.76400076,31.1010003,1625.968465305,1620.687632355,617,616,1,"","","3"
1740.08580810668,1740.07873535156,1740.09185482757,27.87500022,24.76400076,31.1010003,2130.28801203,2125.00717908,664.5,664,1,"","","3"
1740.13260280148,1740.12145996094,1740.14709472656,27.87500022,24.76400076,31.1010003,1375.656983475,1370.376150525,553,552,1,"","","3"
1740.29440403147,1740.28369140625,1740.30920410156,27.87500022,24.76400076,31.1010003,2176.231258695,2170.950425745,1029,1028,1,"[109][M+1]+","","3"
1740.68456047103,1740.67639160156,1740.70202636719,27.87500022,24.76400076,31.1010003,1427.93722968,1422.65639673,536,535,1,"","","3"
1743.85985905618,1743.85400390625,1743.87109375,27.87500022,24.76400076,31.1010003,1129.04208471,1123.76125176,421,420,1,"","","3"
1744.0816557644,1744.07587205318,1744.09326171875,27.87500022,24.76400076,31.1010003,1633.361631435,1628.080798485,626.5,626,1,"","","3"
1744.47485257878,1744.46768977133,1744.48645019531,27.87500022,24.76400076,31.1010003,1376.18506677,1370.90423382,447,446,1,"","","3"
1812.26144719709,1812.25451660156,1812.26406521267,27.87500022,24.76400076,31.1010003,2107.05234705,2101.7715141,819,818,1,"","","3"
1812.49432575237,1812.48974609375,1812.50720214844,27.87500022,24.76400076,31.1010003,1960.773274335,1955.492441385,917,916,1,"[115][M]2+","","3"
1812.74923424972,1812.74243164062,1812.759765625,27.87500022,24.76400076,31.1010003,1926.44786016,1921.16702721,862,861,1,"","","3"
1818.00751105356,1818.00012207031,1818.017578125,27.87500022,24.76400076,31.1010003,1227.26557758,1221.98474463,461.5,460,1,"","","3"
1818.24936374873,1818.23571777344,1818.26196289062,27.87500022,24.76400076,31.1010003,1301.725322175,1296.444489225,561.5,560,1,"","","3"
496.121374496624,496.118591308594,496.123168945312,28.96899996,24.76400076,31.8479991,2455.11142469143,2449.03942611429,533,532,1,"[78][M]2+","","3"
718.694214774549,718.691284179688,718.69677734375,27.87500022,23.9019996,33.46300008,4981.28125008,4840.32478586057,1306,28,1,"","","3"
727.705061181944,727.7001953125,727.705749511719,27.87500022,23.9019996,33.46300008,74626.955096568,73840.8496371024,22865,80,1,"[58][M+6]2+","","3"
734.222387536299,734.217834472656,734.223388671875,27.87500022,24.76400076,31.8479991,1670.30560859571,1664.23361001857,370.5,370,1,"[85][M+2]+","","3"
763.183397139126,763.17724609375,763.188537597656,27.87500022,24.76400076,31.8479991,1065.63575028857,1059.56375171143,219,218,1,"","","3"
